"table_schema","table_name","column_name"
"vc","certmgmt_service_subscribable","subscription_id"
"vc","certmgmt_service_subscribable","data"
"vc","certmgmt_sync_item_metadata","item_id"
"vc","certmgmt_sync_item_metadata","creation_version"
"vc","certmgmt_sync_item_metadata","change_version"
"vc","certmgmt_sync_item_metadata","is_deleted"
"vc","certmgmt_sync_item_metadata","merge_winner_id"
"vc","certmgmt_sync_item_metadata","hashcode"
"vc","certmgmt_sync_item_metadata","local_id"
"vc","certmgmt_sync_replica_metadata","replica_id"
"vc","certmgmt_sync_replica_metadata","tick_count"
"vc","certmgmt_sync_replica_metadata","provider_version"
"vc","certmgmt_sync_replica_metadata","current_knowledge"
"vc","certmgmt_sync_replica_metadata","forgotten_knowledge"
"vc","certmgmt_sync_replica_metadata","custom_metadata"
"vc","certmgmt_sync_replica_metadata","replica_key_map"
"vc","certmgmt_sync_replica_metadata","last_metadata_maintenance_time"
"vc","certmgmt_sync_replica_metadata","provider_id"
"vc","cis_kv_keyvalue","surr_key"
"vc","cis_kv_keyvalue","kv_provider"
"vc","cis_kv_keyvalue","kv_key"
"vc","cis_kv_keyvalue","kv_value"
"vc","cis_kv_keyvalue","kv_generation"
"vc","cis_kv_providers","surr_key"
"vc","cis_kv_providers","pname"
"vc","cis_kv_providers","readprivileges"
"vc","cis_kv_providers","writeprivileges"
"vc","cl_checkout","id"
"vc","cl_checkout","libraryitemid"
"vc","cl_checkout","libraryitemversionid"
"vc","cl_checkout","creationdate"
"vc","cl_checkout","username"
"vc","cl_checkout","entityid"
"vc","cl_config","name"
"vc","cl_config","value"
"vc","cl_dbversion","id"
"vc","cl_dbversion","dbversion"
"vc","cl_dbversion","release_version"
"vc","cl_dirty_marker","id"
"vc","cl_dirty_marker","provider_id"
"vc","cl_dirty_marker","resource_id"
"vc","cl_dirty_marker","binding_class"
"vc","cl_dirty_marker","change_type"
"vc","cl_dirty_marker","time_stamp"
"vc","cl_dirty_marker","owner"
"vc","cl_dirty_marker","permission_assigned"
"vc","cl_dirty_marker","opaque_data"
"vc","cl_entity_lock","handle"
"vc","cl_entity_lock","entity_id"
"vc","cl_entity_lock","creation_time"
"vc","cl_entity_lock","lock_mode"
"vc","cl_entity_lock_metadata","m_key"
"vc","cl_entity_lock_metadata","value"
"vc","cl_entity_lock_metadata","entitylock_handle"
"vc","cl_entity_lock_metadata","entitylock_entity_id"
"vc","cl_file","id"
"vc","cl_file","checksum"
"vc","cl_file","href"
"vc","cl_file","name"
"vc","cl_file","ondisk"
"vc","cl_file","filesize"
"vc","cl_file","uniquename"
"vc","cl_file","version"
"vc","cl_file","generationnum"
"vc","cl_file","storagepolicy"
"vc","cl_file","storageid"
"vc","cl_file_version","fileid"
"vc","cl_file_version","libraryitemversionid"
"vc","cl_item_ovftemplate_view","libraryitemversionid"
"vc","cl_item_ovftemplate_view","isvapptemplate"
"vc","cl_item_ovftemplate_view","libraryitemguestos"
"vc","cl_item_type_adapter","id"
"vc","cl_item_type_adapter","versionid"
"vc","cl_item_type_adapter","type_key"
"vc","cl_item_type_adapter","value"
"vc","cl_item_vmtx_template_view","libraryitemid"
"vc","cl_item_vmtx_template_view","guestosdescription"
"vc","cl_item_vmtx_template_view","vmtxtemplateid"
"vc","cl_library","id"
"vc","cl_library","contentversion"
"vc","cl_library","creationdate"
"vc","cl_library","description"
"vc","cl_library","lastmodifieddate"
"vc","cl_library","lastsyncdate"
"vc","cl_library","name"
"vc","cl_library","persistjsonenabled"
"vc","cl_library","publishauthmethod"
"vc","cl_library","publishpassword"
"vc","cl_library","publishurl"
"vc","cl_library","publishusername"
"vc","cl_library","published"
"vc","cl_library","autosyncenabled"
"vc","cl_library","subscriptionauthmethod"
"vc","cl_library","subscriptionondemand"
"vc","cl_library","subscriptionpassword"
"vc","cl_library","subscriptionsslthumbprint"
"vc","cl_library","subscriptionurl"
"vc","cl_library","subscriptionusername"
"vc","cl_library","serverguid"
"vc","cl_library","type"
"vc","cl_library","version"
"vc","cl_library","optimizedremotepublish"
"vc","cl_library","sourcelibraryid"
"vc","cl_library","subscriptionid"
"vc","cl_library","securitypolicyid"
"vc","cl_library_storage","library_id"
"vc","cl_library_storage","storage_id"
"vc","cl_libraryitem","id"
"vc","cl_libraryitem","creationdate"
"vc","cl_libraryitem","lastmodifieddate"
"vc","cl_libraryitem","lastsyncdate"
"vc","cl_libraryitem","libraryid"
"vc","cl_libraryitem","name"
"vc","cl_libraryitem","type"
"vc","cl_libraryitem","itempath"
"vc","cl_libraryitem","securitycompliance"
"vc","cl_libraryitem_certificate_verification","id"
"vc","cl_libraryitem_certificate_verification","itemid"
"vc","cl_libraryitem_certificate_verification","verificationstatus"
"vc","cl_libraryitem_certificate_verification","certchain"
"vc","cl_libraryitemhistory","id"
"vc","cl_libraryitemhistory","libraryitemid"
"vc","cl_libraryitemhistory","version"
"vc","cl_libraryitemhistory","creationdate"
"vc","cl_libraryitemhistory","username"
"vc","cl_libraryitemhistory","message"
"vc","cl_libraryitemhistory","libraryitemversionid"
"vc","cl_libraryitemversion","id"
"vc","cl_libraryitemversion","backwardcompatibilityversion"
"vc","cl_libraryitemversion","contentversion"
"vc","cl_libraryitemversion","creationdate"
"vc","cl_libraryitemversion","lastmodifieddate"
"vc","cl_libraryitemversion","databaseversion"
"vc","cl_libraryitemversion","description"
"vc","cl_libraryitemversion","libraryitemid"
"vc","cl_libraryitemversion","metadataversion"
"vc","cl_libraryitemversion","name"
"vc","cl_libraryitemversion","filesize"
"vc","cl_libraryitemversion","sourceid"
"vc","cl_libraryitemversion","typeadapterdata"
"vc","cl_libraryitemversion","metadatagenerationnum"
"vc","cl_libraryitemversionfile_view","id"
"vc","cl_libraryitemversionfile_view","name"
"vc","cl_libraryitemversionfile_view","type"
"vc","cl_libraryitemversionfile_view","libraryid"
"vc","cl_libraryitemversionfile_view","libraryitemversionid"
"vc","cl_libraryitemversionfile_view","creationdate"
"vc","cl_libraryitemversionfile_view","lastmodifieddate"
"vc","cl_libraryitemversionfile_view","lastsyncdate"
"vc","cl_libraryitemversionfile_view","sourceid"
"vc","cl_libraryitemversionfile_view","filesize"
"vc","cl_libraryitemversionfile_view","description"
"vc","cl_libraryitemversionfile_view","contentversion"
"vc","cl_libraryitemversionfile_view","metadataversion"
"vc","cl_libraryitemversionfile_view","databaseversion"
"vc","cl_libraryitemversionfile_view","numfilesnotcached"
"vc","cl_libraryitemversionfile_view","numfilescached"
"vc","cl_libraryitemversionfile_view","typeadapterdata"
"vc","cl_libraryitemversionfile_view","isvapptemplate"
"vc","cl_libraryitemversionfile_view","libraryitemguestos"
"vc","cl_libraryitemversionfile_view","cached"
"vc","cl_libraryitemversionfile_view","libraryitemtype"
"vc","cl_libraryitemversionfile_view","itemmenutype"
"vc","cl_libraryitemversionfile_view","itemtype"
"vc","cl_libraryitemversionfile_view","securitycompliance"
"vc","cl_libraryitemversionfile_view","verificationstatus"
"vc","cl_libraryitemversionfile_view","certchain"
"vc","cl_librarywithitems_view","id"
"vc","cl_librarywithitems_view","contentversion"
"vc","cl_librarywithitems_view","creationdate"
"vc","cl_librarywithitems_view","description"
"vc","cl_librarywithitems_view","lastmodifieddate"
"vc","cl_librarywithitems_view","lastsyncdate"
"vc","cl_librarywithitems_view","name"
"vc","cl_librarywithitems_view","persistjsonenabled"
"vc","cl_librarywithitems_view","publishauthmethod"
"vc","cl_librarywithitems_view","publishpassword"
"vc","cl_librarywithitems_view","publishurl"
"vc","cl_librarywithitems_view","publishusername"
"vc","cl_librarywithitems_view","published"
"vc","cl_librarywithitems_view","autosyncenabled"
"vc","cl_librarywithitems_view","subscriptionauthmethod"
"vc","cl_librarywithitems_view","subscriptionondemand"
"vc","cl_librarywithitems_view","subscriptionpassword"
"vc","cl_librarywithitems_view","subscriptionsslthumbprint"
"vc","cl_librarywithitems_view","subscriptionurl"
"vc","cl_librarywithitems_view","subscriptionusername"
"vc","cl_librarywithitems_view","serverguid"
"vc","cl_librarywithitems_view","type"
"vc","cl_librarywithitems_view","version"
"vc","cl_librarywithitems_view","optimizedremotepublish"
"vc","cl_librarywithitems_view","sourcelibraryid"
"vc","cl_librarywithitems_view","subscriptionid"
"vc","cl_librarywithitems_view","securitypolicyid"
"vc","cl_librarywithitems_view","securitypolicyname"
"vc","cl_librarywithitems_view","passwordprotected"
"vc","cl_librarywithitems_view","numberoftemplates"
"vc","cl_librarywithitems_view","numberofother"
"vc","cl_librarywithitems_view","filesizeinbytes"
"vc","cl_metadata","id"
"vc","cl_metadata","entityid"
"vc","cl_metadata","metadata_key"
"vc","cl_metadata","metadata_value"
"vc","cl_orphan_file","id"
"vc","cl_orphan_file","href"
"vc","cl_orphan_file","libraryid"
"vc","cl_orphan_file","libraryitemid"
"vc","cl_orphan_file","filesize"
"vc","cl_orphan_file","status"
"vc","cl_orphan_file","storageuri"
"vc","cl_orphan_file","uniquename"
"vc","cl_registry","clusterid"
"vc","cl_registry","registryid"
"vc","cl_registry","version"
"vc","cl_registry","healthstatus"
"vc","cl_registry","healthmessage"
"vc","cl_registry","storagepolicy"
"vc","cl_registry","totalcapacity"
"vc","cl_registry","storageused"
"vc","cl_registry","creationdate"
"vc","cl_registry","lastmodifieddate"
"vc","cl_registry","garbagecollectionrecurrence"
"vc","cl_registry","garbagecollectiondayofweek"
"vc","cl_registry","garbagecollectionhour"
"vc","cl_registry","garbagecollectionminute"
"vc","cl_registry","accessurl"
"vc","cl_registry_project","registryid"
"vc","cl_registry_project","projectid"
"vc","cl_registry_project","projectname"
"vc","cl_registry_project","scope"
"vc","cl_registry_project","creationdate"
"vc","cl_registry_project","lastmodifieddate"
"vc","cl_registry_project","accessurl"
"vc","cl_registry_project","status"
"vc","cl_registry_project","statusmessage"
"vc","cl_registry_project_member","projectid"
"vc","cl_registry_project_member","registryid"
"vc","cl_registry_project_member","memberid"
"vc","cl_registry_project_member","role"
"vc","cl_registry_project_member","membername"
"vc","cl_registry_project_member","harbormemberid"
"vc","cl_registry_project_member","creationdate"
"vc","cl_registry_project_member","lastmodifieddate"
"vc","cl_registry_project_member","membertype"
"vc","cl_registry_project_member","status"
"vc","cl_registry_project_member","statusmessage"
"vc","cl_registry_root_certificate","registryid"
"vc","cl_registry_root_certificate","certificate"
"vc","cl_registry_root_certificate","sequencenumber"
"vc","cl_security_policy","id"
"vc","cl_security_policy","name"
"vc","cl_security_policy","creationdate"
"vc","cl_security_policy","lastmodifieddate"
"vc","cl_security_policy_rule","policyid"
"vc","cl_security_policy_rule","ruleid"
"vc","cl_security_rule","id"
"vc","cl_security_rule","itemtype"
"vc","cl_security_rule","ruletype"
"vc","cl_simple_activity","handle"
"vc","cl_simple_activity","activity"
"vc","cl_simple_activity","entity_id"
"vc","cl_simple_activity","phase"
"vc","cl_simple_activity_parameter","id"
"vc","cl_simple_activity_parameter","handle"
"vc","cl_simple_activity_parameter","name"
"vc","cl_simple_activity_parameter","activity"
"vc","cl_simple_activity_parameter","value"
"vc","cl_storage","id"
"vc","cl_storage","storageuri"
"vc","cl_storage","type"
"vc","cl_subscription","id"
"vc","cl_subscription","publishedlibraryid"
"vc","cl_subscription","subscribedlibraryid"
"vc","cl_subscription","subscribedlibraryname"
"vc","cl_subscription","subscriber_vcenter_hostname"
"vc","cl_subscription","subscriber_vcenter_https_port"
"vc","cl_subscription","subscriber_server_guid"
"vc","cl_subscription","folderid"
"vc","cl_subscription","clusterid"
"vc","cl_subscription","resourcepoolid"
"vc","cl_subscription","hostid"
"vc","cl_subscription","networkid"
"vc","cl_update_session_file","sessionid"
"vc","cl_update_session_file","libraryid"
"vc","cl_update_session_file","libraryitemid"
"vc","cl_update_session_file","filename"
"vc","cl_update_session_file","fileuniquename"
"vc","cl_update_session_file","filetransferstatus"
"vc","cl_update_session_file","filesize"
"vc","cl_update_session_file","filestorageuri"
"vc","cl_update_session_file","creationdate"
"vc","cl_vcenter_task","id"
"vc","cl_vcenter_task","type"
"vc","cl_vcenter_task","moref"
"vc","cl_vcenter_task","entityid"
"vc","cl_vcenter_task","state"
"vc","cl_vcenter_task","progress"
"vc","cl_vcenter_task","autoterminateatstartup"
"vc","cl_vcenter_task","creationtime"
"vc","cl_vmtxitemhistory_view","libraryitemversionid"
"vc","cl_vmtxitemhistory_view","libraryitemid"
"vc","cl_vmtxitemhistory_view","vmtemplateid"
"vc","cl_vmtxitemhistory_view","version"
"vc","cl_vmtxitemhistory_view","creationdate"
"vc","cl_vmtxitemhistory_view","username"
"vc","cl_vmtxitemhistory_view","message"
"vc","cl_vmtxitemhistory_view","islatestversion"
"vc","cms_tls_subscriptions","subscription_id"
"vc","cms_tls_subscriptions","store_names"
"vc","cms_tls_subscriptions","notification_endpoint"
"vc","cms_tls_subscriptions","thumbprint"
"vc","cms_tls_subscriptions","access_token_audience"
"vc","cms_tls_subscriptions","subscriber_name"
"vc","cms_tls_subscriptions","read_only"
"vc","hvc_settings","data"
"vc","iso_vcenter_task","id"
"vc","iso_vcenter_task","type"
"vc","iso_vcenter_task","moref"
"vc","iso_vcenter_task","entityid"
"vc","iso_vcenter_task","state"
"vc","iso_vcenter_task","progress"
"vc","iso_vcenter_task","autoterminateatstartup"
"vc","iso_vcenter_task","creationtime"
"vc","lookupsvc_subscriptions","subscription_id"
"vc","lookupsvc_subscriptions","data"
"vc","lookupsvc_sync_item","item_id"
"vc","lookupsvc_sync_item","creation_version"
"vc","lookupsvc_sync_item","change_version"
"vc","lookupsvc_sync_item","is_deleted"
"vc","lookupsvc_sync_item","merge_winner_id"
"vc","lookupsvc_sync_item","hashcode"
"vc","lookupsvc_sync_item","local_id"
"vc","lookupsvc_sync_replica","replica_id"
"vc","lookupsvc_sync_replica","tick_count"
"vc","lookupsvc_sync_replica","provider_version"
"vc","lookupsvc_sync_replica","current_knowledge"
"vc","lookupsvc_sync_replica","forgotten_knowledge"
"vc","lookupsvc_sync_replica","custom_metadata"
"vc","lookupsvc_sync_replica","replica_key_map"
"vc","lookupsvc_sync_replica","last_metadata_maintenance_time"
"vc","lookupsvc_sync_replica","provider_id"
"vc","ovf_vcenter_task","id"
"vc","ovf_vcenter_task","type"
"vc","ovf_vcenter_task","moref"
"vc","ovf_vcenter_task","entityid"
"vc","ovf_vcenter_task","state"
"vc","ovf_vcenter_task","progress"
"vc","ovf_vcenter_task","autoterminateatstartup"
"vc","ovf_vcenter_task","creationtime"
"vc","tagging_subscriptions","subscription_id"
"vc","tagging_subscriptions","data"
"vc","tagging_sync_items","item_id"
"vc","tagging_sync_items","creation_version"
"vc","tagging_sync_items","change_version"
"vc","tagging_sync_items","is_deleted"
"vc","tagging_sync_items","merge_winner_id"
"vc","tagging_sync_items","hashcode"
"vc","tagging_sync_items","local_id"
"vc","tagging_sync_replica","replica_id"
"vc","tagging_sync_replica","tick_count"
"vc","tagging_sync_replica","provider_version"
"vc","tagging_sync_replica","current_knowledge"
"vc","tagging_sync_replica","forgotten_knowledge"
"vc","tagging_sync_replica","custom_metadata"
"vc","tagging_sync_replica","replica_key_map"
"vc","tagging_sync_replica","last_metadata_maintenance_time"
"vc","tagging_sync_replica","provider_id"
"vc","topology_items","item_id"
"vc","topology_items","creation_version"
"vc","topology_items","change_version"
"vc","topology_items","is_deleted"
"vc","topology_items","merge_winner_id"
"vc","topology_items","item_data"
"vc","topology_items","local_id"
"vc","topology_replica","replica_id"
"vc","topology_replica","tick_count"
"vc","topology_replica","provider_version"
"vc","topology_replica","current_knowledge"
"vc","topology_replica","forgotten_knowledge"
"vc","topology_replica","custom_metadata"
"vc","topology_replica","replica_key_map"
"vc","topology_replica","last_metadata_maintenance_time"
"vc","topology_replica","provider_id"
"vc","trustmanagement_subscriptions","subscription_id"
"vc","trustmanagement_subscriptions","data"
"vc","trustmanagement_sync_item","item_id"
"vc","trustmanagement_sync_item","creation_version"
"vc","trustmanagement_sync_item","change_version"
"vc","trustmanagement_sync_item","is_deleted"
"vc","trustmanagement_sync_item","merge_winner_id"
"vc","trustmanagement_sync_item","hashcode"
"vc","trustmanagement_sync_item","local_id"
"vc","trustmanagement_sync_replica","replica_id"
"vc","trustmanagement_sync_replica","tick_count"
"vc","trustmanagement_sync_replica","provider_version"
"vc","trustmanagement_sync_replica","current_knowledge"
"vc","trustmanagement_sync_replica","forgotten_knowledge"
"vc","trustmanagement_sync_replica","custom_metadata"
"vc","trustmanagement_sync_replica","replica_key_map"
"vc","trustmanagement_sync_replica","last_metadata_maintenance_time"
"vc","trustmanagement_sync_replica","provider_id"
"vc","vdc_entity_lock","handle"
"vc","vdc_entity_lock","entity_id"
"vc","vdc_entity_lock","creation_time"
"vc","vdc_entity_lock","lock_mode"
"vc","vdc_entity_lock_metadata","m_key"
"vc","vdc_entity_lock_metadata","value"
"vc","vdc_entity_lock_metadata","entitylock_handle"
"vc","vdc_entity_lock_metadata","entitylock_entity_id"
"vc","vdc_simple_activity","handle"
"vc","vdc_simple_activity","activity"
"vc","vdc_simple_activity","entity_id"
"vc","vdc_simple_activity","phase"
"vc","vdc_simple_activity_parameter","id"
"vc","vdc_simple_activity_parameter","handle"
"vc","vdc_simple_activity_parameter","name"
"vc","vdc_simple_activity_parameter","activity"
"vc","vdc_simple_activity_parameter","value"
"vc","vpx_access","id"
"vc","vpx_access","principal"
"vc","vpx_access","role_id"
"vc","vpx_access","entity_id"
"vc","vpx_access","flag"
"vc","vpx_access","surr_key"
"vc","vpx_alarm","alarm_id"
"vc","vpx_alarm","name"
"vc","vpx_alarm","system_name"
"vc","vpx_alarm","description"
"vc","vpx_alarm","enabled"
"vc","vpx_alarm","setting_data"
"vc","vpx_alarm","entity_id"
"vc","vpx_alarm","entity_type"
"vc","vpx_alarm","lastmodifiedtime"
"vc","vpx_alarm","lastmodifieduser"
"vc","vpx_alarm","creation_event_id"
"vc","vpx_alarm","action_frequency"
"vc","vpx_alarm","trigger_only"
"vc","vpx_alarm","alarm_metadata"
"vc","vpx_alarm_action","alarm_id"
"vc","vpx_alarm_action","action_id"
"vc","vpx_alarm_action","parent_id"
"vc","vpx_alarm_action","alarm_action_type"
"vc","vpx_alarm_action","green2yellow"
"vc","vpx_alarm_action","red2yellow"
"vc","vpx_alarm_action","yellow2green"
"vc","vpx_alarm_action","yellow2red"
"vc","vpx_alarm_action","action_type"
"vc","vpx_alarm_action","action_data"
"vc","vpx_alarm_action","green2yellow_repeat_flg"
"vc","vpx_alarm_action","red2yellow_repeat_flg"
"vc","vpx_alarm_action","yellow2green_repeat_flg"
"vc","vpx_alarm_action","yellow2red_repeat_flg"
"vc","vpx_alarm_disabled_actions","entity_id"
"vc","vpx_alarm_disabled_actions","entity_type"
"vc","vpx_alarm_expr_comp","alarm_id"
"vc","vpx_alarm_expr_comp","expression_id"
"vc","vpx_alarm_expr_comp","attribute_name"
"vc","vpx_alarm_expr_comp","operator_type"
"vc","vpx_alarm_expr_comp","attribute_value"
"vc","vpx_alarm_expr_comp","surr_key"
"vc","vpx_alarm_expression","alarm_id"
"vc","vpx_alarm_expression","expression_id"
"vc","vpx_alarm_expression","parent_id"
"vc","vpx_alarm_expression","expression_type"
"vc","vpx_alarm_expression","object_type"
"vc","vpx_alarm_expression","object_path"
"vc","vpx_alarm_expression","operator"
"vc","vpx_alarm_expression","red"
"vc","vpx_alarm_expression","yellow"
"vc","vpx_alarm_expression","new_status"
"vc","vpx_alarm_expression","red_interval"
"vc","vpx_alarm_expression","yellow_interval"
"vc","vpx_alarm_repeat_action","entity_id"
"vc","vpx_alarm_repeat_action","alarm_id"
"vc","vpx_alarm_repeat_action","entity_type"
"vc","vpx_alarm_repeat_action","new_status"
"vc","vpx_alarm_repeat_action","old_status"
"vc","vpx_alarm_repeat_action","trig_summary"
"vc","vpx_alarm_repeat_action","decl_summary"
"vc","vpx_alarm_repeat_action","event_desc"
"vc","vpx_alarm_repeat_action","event_id"
"vc","vpx_alarm_runtime","entity_id"
"vc","vpx_alarm_runtime","alarm_id"
"vc","vpx_alarm_runtime","entity_type"
"vc","vpx_alarm_runtime","expression_name"
"vc","vpx_alarm_runtime","state_value"
"vc","vpx_alarm_runtime","metric_value"
"vc","vpx_alarm_runtime","created_time"
"vc","vpx_alarm_runtime","status_value"
"vc","vpx_alarm_runtime","event_key"
"vc","vpx_alarm_state","entity_id"
"vc","vpx_alarm_state","alarm_id"
"vc","vpx_alarm_state","alarm_overriden"
"vc","vpx_alarm_state","override_user"
"vc","vpx_alarm_state","override_time"
"vc","vpx_alarm_state","alarm_acknowledged"
"vc","vpx_alarm_state","ack_user"
"vc","vpx_alarm_state","ack_time"
"vc","vpx_alarm_state","repeat_trigger"
"vc","vpx_alarm_state","disabled"
"vc","vpx_attestd_services","id"
"vc","vpx_attestd_services","uuid"
"vc","vpx_attestd_services","hostname"
"vc","vpx_attestd_services","port"
"vc","vpx_attestd_services","cert"
"vc","vpx_attestd_services","group_id"
"vc","vpx_attestd_services","trusted_cls_id"
"vc","vpx_attestd_signing_info","service_id"
"vc","vpx_attestd_signing_info","cert"
"vc","vpx_attestd_signing_info","pubkey"
"vc","vpx_auth_tenant_mgmt_rs","entity_id"
"vc","vpx_authz_global_permissions","principal"
"vc","vpx_authz_global_permissions","is_group"
"vc","vpx_authz_global_permissions","version"
"vc","vpx_authz_global_permissions","role_id"
"vc","vpx_authz_privileges","priv_id"
"vc","vpx_authz_privileges","priv_name"
"vc","vpx_authz_privileges","priv_group"
"vc","vpx_authz_privileges","priv_version"
"vc","vpx_authz_privileges","priv_on_parent"
"vc","vpx_authz_roles","role_id"
"vc","vpx_authz_roles","role_name"
"vc","vpx_authz_roles","role_version"
"vc","vpx_authz_roles_privileges","role_id"
"vc","vpx_authz_roles_privileges","priv_id"
"vc","vpx_autonomous_cluster","id"
"vc","vpx_autonomous_cluster","ip"
"vc","vpx_autonomous_cluster","ssl_thumbprint"
"vc","vpx_autonomous_cluster","availability"
"vc","vpx_autonomous_cluster","aux"
"vc","vpx_autonomous_entity","id"
"vc","vpx_autonomous_entity","native_moid"
"vc","vpx_binary_data","id"
"vc","vpx_binary_data","data_type"
"vc","vpx_binary_data","bin_data"
"vc","vpx_binary_data","created_time"
"vc","vpx_binary_data","change_id"
"vc","vpx_change_tag","change_tag_id"
"vc","vpx_change_tag","change_tag_val"
"vc","vpx_cluster_attestd_services","cluster_id"
"vc","vpx_cluster_attestd_services","service_id"
"vc","vpx_cluster_datastore_conf","cluster_id"
"vc","vpx_cluster_datastore_conf","datastore_specs"
"vc","vpx_cluster_datastore_conf","version"
"vc","vpx_cluster_datastore_conf","can_change_config"
"vc","vpx_cluster_dpu_config","cluster_id"
"vc","vpx_cluster_dpu_config","vendor_name"
"vc","vpx_cluster_iofilters","cluster_id"
"vc","vpx_cluster_iofilters","agency_ref"
"vc","vpx_cluster_iofilters","op_type"
"vc","vpx_cluster_iofilters","vib_url"
"vc","vpx_cluster_iofilters","vib_id"
"vc","vpx_cluster_iofilters","vib_name"
"vc","vpx_cluster_iofilters","vib_version"
"vc","vpx_cluster_iofilters","vib_vendor"
"vc","vpx_cluster_iofilters","vib_summary"
"vc","vpx_cluster_iofilters","vib_release_date"
"vc","vpx_cluster_iofilters","filter_class"
"vc","vpx_cluster_kmxd_services","cluster_id"
"vc","vpx_cluster_kmxd_services","service_id"
"vc","vpx_cluster_vcls_datastore","cluster_id"
"vc","vpx_cluster_vcls_datastore","datastore_id"
"vc","vpx_cluster_vcls_datastore","allowment"
"vc","vpx_compliance_status","compliance_status_id"
"vc","vpx_compliance_status","profile_id"
"vc","vpx_compliance_status","entity_id"
"vc","vpx_compliance_status","status_cd"
"vc","vpx_compliance_status","created_time"
"vc","vpx_compliance_status","failure_info"
"vc","vpx_compute_res_failover_host","comp_res_id"
"vc","vpx_compute_res_failover_host","host_id"
"vc","vpx_compute_res_user_hb_ds","comp_res_id"
"vc","vpx_compute_res_user_hb_ds","ds_id"
"vc","vpx_compute_resource","id"
"vc","vpx_compute_resource","resource_group_id"
"vc","vpx_compute_resource","resource_type"
"vc","vpx_compute_resource","summary"
"vc","vpx_compute_resource","vm_swap_placement"
"vc","vpx_compute_resource","spbm_enabled"
"vc","vpx_compute_resource","das_enabled"
"vc","vpx_compute_resource","failover_level"
"vc","vpx_compute_resource","strict_admission_control"
"vc","vpx_compute_resource","das_options"
"vc","vpx_compute_resource","drs_enabled"
"vc","vpx_compute_resource","default_vm_behavior"
"vc","vpx_compute_resource","vmotion_rate"
"vc","vpx_compute_resource","drs_options"
"vc","vpx_compute_resource","rules_info"
"vc","vpx_compute_resource","dpm_enabled_flg"
"vc","vpx_compute_resource","default_host_behavior"
"vc","vpx_compute_resource","default_das_priority"
"vc","vpx_compute_resource","power_off_on_isolation"
"vc","vpx_compute_resource","dpm_options"
"vc","vpx_compute_resource","evc_mode"
"vc","vpx_compute_resource","vmhealth_vm_monitoring"
"vc","vpx_compute_resource","vmhealth_failure_interval"
"vc","vpx_compute_resource","vmhealth_min_uptime"
"vc","vpx_compute_resource","vmhealth_max_failures"
"vc","vpx_compute_resource","vmhealth_max_failure_window"
"vc","vpx_compute_resource","failover_cpu_resources"
"vc","vpx_compute_resource","failover_mem_resources"
"vc","vpx_compute_resource","host_power_action_rate"
"vc","vpx_compute_resource","drs_vm_overrides_enabled_flg"
"vc","vpx_compute_resource","das_host_monitoring"
"vc","vpx_compute_resource","das_vm_monitoring"
"vc","vpx_compute_resource","cluster_state"
"vc","vpx_compute_resource","cluster_config_version"
"vc","vpx_compute_resource","trusted_cluster_state"
"vc","vpx_compute_resource","das_vm_metadata_version"
"vc","vpx_compute_resource","das_hostlist_version"
"vc","vpx_compute_resource","das_fault_domain_id"
"vc","vpx_compute_resource","das_vm_comp_protecting"
"vc","vpx_compute_resource","vmcp_apd_terminate"
"vc","vpx_compute_resource","vmcp_apd_terminate_delay"
"vc","vpx_compute_resource","vmcp_apd_reset"
"vc","vpx_compute_resource","vmcp_pdl_terminate"
"vc","vpx_compute_resource","allow_sys_update_hb_ds"
"vc","vpx_compute_resource","groups_info"
